,country,games,gold,silver,bronze,total
0,Afghanistan,15,0,0,2,2
1,Algeria,14,5,4,8,17
2,Argentina,25,21,26,30,77
3,Armenia,7,2,8,8,18
5,Australia,27,164,173,210,547
6,Austria,28,20,35,41,96
7,Azerbaijan,7,7,14,28,49
8,Bahamas,17,8,2,6,16
9,Bahrain,10,2,2,0,4
10,Barbados,13,0,0,1,1
11,Belarus,7,13,30,42,85
12,Belgium,27,44,56,57,157
13,Bermuda,19,1,0,1,2
14,Bohemia,3,0,1,3,4
15,Botswana,11,0,1,1,2
16,Brazil,23,37,42,71,150
17,British West Indies,1,0,0,2,2
18,Bulgaria,21,54,88,82,224
19,Burkina Faso,10,0,0,1,1
20,Burundi,7,1,1,0,2
21,Cameroon,15,3,1,2,6
22,Canada,27,71,110,145,326
23,Chile,24,2,7,4,13
24,China,11,263,199,174,636
25,Colombia,20,5,13,16,34
26,Costa Rica,16,1,1,2,4
27,Ivory Coast,14,1,1,2,4
28,Croatia,8,14,13,14,41
29,Cuba,21,84,69,82,235
30,Cyprus,11,0,1,0,1
31,Czech Republic,7,19,22,26,67
32,Czechoslovakia,16,49,49,45,143
33,Denmark,28,48,78,79,205
34,Djibouti,9,0,0,1,1
35,Dominican Republic,15,3,5,4,12
36,Ecuador,15,3,2,0,5
37,Egypt,23,8,11,19,38
38,Eritrea,6,0,0,1,1
39,Estonia,13,10,9,17,36
40,Ethiopia,14,23,12,23,58
41,Fiji,15,2,0,1,3
42,Finland,26,101,85,119,305
43,France,29,223,251,277,751
44,Gabon,11,0,1,0,1
45,Georgia,7,10,12,18,40
46,Germany,17,201,207,247,655
48,East Germany,5,153,129,127,409
49,West Germany,5,56,67,81,204
50,Ghana,15,0,1,4,5
51,Great Britain,29,284,318,314,916
52,Greece,29,35,45,41,121
53,Grenada,10,1,1,1,3
54,Guatemala,14,0,1,0,1
55,Guyana,18,0,0,1,1
56,Haiti,16,0,1,1,2
57,Hong Kong,17,2,3,4,9
58,Hungary,27,181,154,176,511
59,Iceland,21,0,2,2,4
60,India,25,10,9,16,35
61,Indonesia,16,8,14,15,37
62,Iran,17,24,23,29,76
63,Iraq,15,0,0,1,1
64,Ireland,22,11,10,14,35
65,Israel,17,3,1,9,13
66,Italy,28,217,188,213,618
67,Jamaica,18,26,36,26,88
68,Japan,23,169,150,178,497
69,Jordan,11,1,1,1,3
70,Kazakhstan,7,14,22,35,71
71,Kenya,15,35,42,36,113
72,Kosovo,2,3,0,0,3
73,North Korea,10,16,16,23,55
74,South Korea,18,96,91,101,288
75,Kuwait,13,0,0,3,3
76,Kyrgyzstan,7,0,3,4,7
77,Latvia,12,4,11,6,21
78,Lebanon,18,0,2,2,4
79,Liechtenstein,18,0,0,0,0
80,Lithuania,10,6,7,13,26
81,Luxembourg,25,2,1,0,3
82,Malaysia,14,0,8,5,13
83,Mauritius,10,0,0,1,1
84,Mexico,24,13,24,35,72
85,Moldova,7,0,2,4,6
86,Mongolia,14,2,11,17,30
87,Montenegro,4,0,1,0,1
88,Morocco,15,7,5,12,24
89,Mozambique,11,1,0,1,2
90,Namibia,8,0,5,0,5
91,Netherlands,27,95,105,122,322
92,Netherlands Antilles,13,0,1,0,1
93,New Zealand,24,53,33,51,137
94,Niger,13,0,1,1,2
95,Nigeria,17,3,11,13,27
96,North Macedonia,7,0,1,1,2
97,Norway,27,61,52,50,163
98,Pakistan,18,3,3,4,10
99,Panama,18,1,0,2,3
100,Paraguay,13,0,1,0,1
101,Peru,19,1,3,0,4
102,Philippines,22,3,5,8,14
103,Poland,22,72,89,137,298
104,Portugal,25,5,9,14,28
105,Puerto Rico,19,2,2,6,10
106,Qatar,10,2,2,4,8
107,Romania,22,90,97,121,308
108,Russia,6,147,126,150,423
109,Russian Empire,3,1,4,3,8
110,Soviet Union,9,395,319,296,1010
114,San Marino,15,0,1,2,3
115,Saudi Arabia,12,0,2,2,4
116,Samoa,10,0,1,0,1
117,Senegal,15,0,1,0,1
118,Serbia,5,6,7,11,24
119,Serbia and Montenegro,3,2,4,3,9
120,Singapore,17,1,2,2,5
121,Slovakia,7,10,14,8,32
122,Slovenia,8,8,9,11,28
123,South Africa,20,27,33,29,89
124,Spain,24,48,72,49,169
125,Sri Lanka,18,0,2,0,2
126,Sudan,13,0,1,0,1
127,Suriname,13,1,0,1,2
128,Sweden,28,147,177,179,503
129,Switzerland,29,53,79,74,206
130,Syria,14,1,1,2,4
131,Chinese Taipei,15,7,11,18,36
132,Tajikistan,7,1,1,2,4
133,Tanzania,14,0,2,0,2
134,Thailand,17,10,8,17,35
135,Togo,11,0,0,1,1
136,Tonga,10,0,1,0,1
137,Trinidad and Tobago,18,3,5,11,19
138,Tunisia,15,5,3,7,15
139,Turkey,23,41,26,36,103
140,Turkmenistan,7,0,1,0,1
141,Uganda,16,4,4,3,11
142,Ukraine,7,35,36,68,139
143,United Arab Emirates,10,1,0,1,2
144,United States,28,1061,830,738,2629
145,Uruguay,22,2,2,6,10
146,Uzbekistan,7,10,6,20,36
147,Venezuela,19,3,7,9,19
148,Vietnam,16,1,3,1,5
149,Virgin Islands,13,0,1,0,1
150,Yugoslavia,16,26,29,28,83
151,Zambia,14,0,1,1,2
152,Zimbabwe,14,3,4,1,8
